ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,rsi14,macd_dif,macd_dea,macd_hist
688981.SH,2025-11-28,112.71,114.11,111.4,113.6,112.71,0.89,0.7896,308663.84,3486790.036,112.44200000000001,117.46700000000001,120.41816666666665,36.05915615484989,-2.9713154582398147,-2.3583530849650227,-1.225924746549584
688981.SH,2025-12-01,113.4,114.68,112.6,114.4,113.6,0.8,0.7042,327640.04,3724984.486,113.02000000000001,117.1765,120.80733333333335,42.25941422594141,-2.8154472348259105,-2.4497719149372004,-0.7313506397774203
688981.SH,2025-12-02,114.1,114.19,112.7,113.0,114.4,-1.4,-1.2238,237771.82,2694922.636,113.28399999999999,116.83250000000001,120.95783333333334,34.221799143265116,-2.7729242992756866,-2.514402391804898,-0.5170438149415775
688981.SH,2025-12-03,112.8,113.69,111.13,111.62,113.0,-1.38,-1.2212,245413.59,2756774.41,113.06599999999999,116.42450000000001,121.09866666666667,19.661733615222005,-2.8180938022004227,-2.575140673884003,-0.4859062566328394
688981.SH,2025-12-04,111.65,114.73,110.98,114.73,111.62,3.11,2.7862,387551.96,4392462.735,113.47,115.9185,121.32866666666665,39.91817650496785,-2.573276816717538,-2.57476790245071,0.0029821714663444965
688981.SH,2025-12-05,114.0,114.88,112.5,114.18,114.73,-0.55,-0.4794,352653.66,4015690.336,113.58599999999998,115.522,121.53983333333333,39.91817650496788,-2.3960181891543897,-2.539017959791446,0.285999541274113
688981.SH,2025-12-08,114.21,118.0,114.18,117.2,114.18,3.02,2.6449,508359.77,5945081.548,114.146,115.3815,121.50616666666666,48.0808080808081,-1.9889236155461703,-2.428999090942391,0.8801509507924417
688981.SH,2025-12-09,115.58,117.9,115.51,116.32,117.2,-0.88,-0.7509,371384.45,4333826.426,114.80999999999999,115.31099999999999,121.53216666666667,50.10526315789472,-1.717508509550612,-2.2867009746640354,1.138384930226847
688981.SH,2025-12-10,115.58,116.59,113.44,116.31,116.32,-0.01,-0.0086,315714.73,3624511.935,115.748,115.14499999999998,121.75416666666666,48.730415991356026,-1.486086320983702,-2.1265780439279687,1.2809834458885332
688981.SH,2025-12-11,116.53,117.14,113.5,113.61,116.31,-2.7,-2.3214,303108.96,3488207.042,115.524,114.67049999999999,121.91583333333334,51.749856569133684,-1.5032217992177976,-2.0019067949859344,0.9973699915362735
688981.SH,2025-12-12,113.61,117.42,111.6,116.8,113.61,3.19,2.8079,584998.04,6734945.965,116.048,114.60150000000002,122.02449999999999,63.82645060115001,-1.2450433642249408,-1.8505341088337357,1.2109814892175899
688981.SH,2025-12-15,115.15,116.5,113.0,113.01,116.8,-3.79,-3.2449,342417.46,3933791.146,115.21,114.37049999999999,122.10099999999998,52.92307692307691,-1.3309144665612962,-1.746610180379248,0.8313914276359036
688981.SH,2025-12-16,112.5,113.35,110.27,110.7,113.01,-2.31,-2.0441,323379.53,3605859.884,114.08600000000001,114.00750000000001,122.13499999999999,45.817727840199765,-1.5672987835876597,-1.7107479010209303,0.2868982348665412
688981.SH,2025-12-17,110.82,113.9,110.13,113.29,110.7,2.59,2.3397,343892.72,3848931.232,113.482,113.85800000000002,122.1935,51.08940646130731,-1.5280295301628684,-1.674204226849318,0.29234939337289934
688981.SH,2025-12-18,112.8,115.72,112.75,112.8,113.29,-0.49,-0.4325,314700.29,3583327.202,113.32000000000001,113.65899999999999,122.11699999999999,48.4744469870328,-1.5189378982185247,-1.6431509611231594,0.24842612580926948
688981.SH,2025-12-19,113.2,115.48,113.0,113.63,112.8,0.83,0.7358,272612.5,3107493.842,112.686,113.6905,121.975,48.53333333333331,-1.4282941649490937,-1.6001796018883463,0.34377087387850525
688981.SH,2025-12-22,114.6,121.44,114.6,120.45,113.63,6.82,6.0019,810113.69,9622360.396,114.174,114.1375,121.96016666666667,61.76191979791601,-0.7969545543824523,-1.4395345923871676,1.2851600760094306
688981.SH,2025-12-23,120.5,121.58,119.02,119.9,120.45,-0.55,-0.4566,483601.42,5823920.043,116.01400000000001,114.54849999999999,121.80983333333333,63.42412451361867,-0.33710779904525623,-1.2190492337187855,1.7638828693470585
688981.SH,2025-12-24,122.5,124.38,121.11,123.41,119.9,3.51,2.9274,629560.98,7744549.16,118.03799999999998,115.0835,121.72483333333334,63.89244558258642,0.30701268219095823,-0.9138368505368368,2.44169906545559
688981.SH,2025-12-25,123.0,125.99,122.66,123.08,123.41,-0.33,-0.2674,471809.58,5854142.202,120.09400000000001,115.602,121.5265,64.34558349451964,0.7818419745305363,-0.5747010855233622,2.713086120107797
